annee;tranche_horaire;Loire-Atlantique;Cote d Armor;Calvados;Seine-Maritime;Somme;Nord;Charante Maritime;Gironde;Herault;Bouches-du-Rhone
2017;2643;0.59;0.16;0.028;0.05;0.095;0.292;0.535;0.62;0.579;0.051
2017;2644;0.571;0.137;0.03;0.073;0.13;0.283;0.495;0.586;0.535;0.115
2017;2645;0.552;0.118;0.034;0.098;0.164;0.27;0.454;0.554;0.472;0.146
2017;2646;0.464;0.083;0.03;0.118;0.18;0.236;0.361;0.464;0.367;0.124
2017;2647;0.345;0.039;0.013;0.123;0.17;0.218;0.294;0.398;0.32;0.113
2017;2648;0.361;0.034;0.008;0.126;0.183;0.24;0.376;0.451;0.242;0.102
2017;2649;0.454;0.042;0.005;0.114;0.183;0.251;0.426;0.457;0.169;0.08
2017;2650;0.45;0.052;0.008;0.11;0.179;0.249;0.428;0.461;0.106;0.076
2017;2651;0.428;0.064;0.015;0.112;0.172;0.229;0.418;0.457;0.061;0.084
2017;2652;0.402;0.072;0.026;0.114;0.167;0.202;0.398;0.429;0.041;0.104
2017;2653;0.384;0.075;0.033;0.118;0.165;0.191;0.382;0.391;0.036;0.126
2017;2654;0.386;0.074;0.038;0.124;0.174;0.194;0.388;0.376;0.033;0.13
2017;2655;0.403;0.074;0.04;0.133;0.182;0.202;0.426;0.395;0.035;0.118
2017;2656;0.425;0.076;0.051;0.144;0.182;0.203;0.472;0.433;0.043;0.109
2017;2657;0.425;0.099;0.084;0.165;0.176;0.224;0.501;0.479;0.085;0.134
2017;2658;0.454;0.19;0.158;0.203;0.183;0.277;0.566;0.616;0.151;0.177
2017;2659;0.504;0.297;0.209;0.22;0.196;0.309;0.62;0.725;0.163;0.186
2017;2660;0.556;0.343;0.202;0.208;0.204;0.315;0.601;0.731;0.146;0.18
2017;2661;0.59;0.326;0.159;0.201;0.225;0.326;0.539;0.674;0.118;0.179
2017;2662;0.61;0.286;0.116;0.199;0.245;0.325;0.494;0.578;0.08;0.185
2017;2663;0.613;0.244;0.089;0.192;0.253;0.315;0.479;0.52;0.044;0.179
2017;2664;0.6;0.202;0.072;0.18;0.252;0.31;0.466;0.481;0.029;0.159
2017;2665;0.58;0.169;0.066;0.176;0.24;0.297;0.455;0.457;0.028;0.133
2017;2666;0.56;0.141;0.064;0.182;0.223;0.276;0.442;0.441;0.035;0.112
2017;2667;0.544;0.12;0.068;0.191;0.206;0.246;0.423;0.43;0.046;0.089
2017;2668;0.535;0.103;0.079;0.204;0.195;0.219;0.407;0.42;0.058;0.069
2017;2669;0.536;0.093;0.096;0.221;0.189;0.188;0.391;0.407;0.074;0.059
2017;2670;0.472;0.083;0.123;0.227;0.163;0.149;0.302;0.305;0.069;0.054
2017;2671;0.408;0.102;0.182;0.243;0.167;0.138;0.22;0.203;0.035;0.072
2017;2672;0.435;0.182;0.251;0.256;0.172;0.148;0.236;0.18;0.023;0.104
2017;2673;0.491;0.209;0.248;0.232;0.167;0.145;0.302;0.176;0.019;0.126
2017;2674;0.513;0.209;0.221;0.203;0.161;0.125;0.325;0.165;0.016;0.147
2017;2675;0.481;0.214;0.216;0.198;0.163;0.107;0.291;0.139;0.006;0.179
2017;2676;0.42;0.227;0.227;0.197;0.165;0.107;0.241;0.118;0.01;0.224
2017;2677;0.358;0.241;0.236;0.188;0.163;0.124;0.201;0.116;0.045;0.27
2017;2678;0.324;0.263;0.242;0.183;0.169;0.146;0.187;0.138;0.074;0.311
2017;2679;0.342;0.294;0.252;0.182;0.179;0.155;0.207;0.191;0.108;0.355
2017;2680;0.42;0.323;0.243;0.163;0.174;0.153;0.265;0.286;0.163;0.403
2017;2681;0.54;0.326;0.205;0.148;0.161;0.136;0.376;0.457;0.243;0.454
2017;2682;0.698;0.3;0.188;0.152;0.161;0.143;0.55;0.69;0.289;0.473
2017;2683;0.801;0.337;0.209;0.164;0.171;0.16;0.672;0.82;0.208;0.444
2017;2684;0.817;0.361;0.219;0.165;0.167;0.164;0.689;0.832;0.093;0.388
2017;2685;0.782;0.337;0.211;0.157;0.161;0.165;0.654;0.791;0.024;0.368
2017;2686;0.757;0.295;0.207;0.157;0.166;0.148;0.61;0.746;0.03;0.386
2017;2687;0.72;0.261;0.208;0.168;0.168;0.122;0.586;0.712;0.114;0.402
2017;2688;0.677;0.247;0.207;0.178;0.157;0.103;0.578;0.7;0.249;0.425
2017;2689;0.647;0.237;0.201;0.182;0.142;0.096;0.568;0.704;0.391;0.464
2017;2690;0.615;0.21;0.184;0.19;0.133;0.094;0.535;0.643;0.491;0.491
2017;2691;0.59;0.178;0.17;0.202;0.128;0.091;0.498;0.607;0.525;0.513
2017;2692;0.551;0.154;0.164;0.213;0.122;0.071;0.491;0.599;0.529;0.54
2017;2693;0.566;0.141;0.161;0.217;0.109;0.044;0.505;0.603;0.53;0.572
2017;2694;0.556;0.138;0.149;0.182;0.07;0.024;0.515;0.574;0.476;0.594
2017;2695;0.559;0.152;0.148;0.157;0.054;0.018;0.535;0.613;0.466;0.625
2017;2696;0.578;0.169;0.14;0.12;0.039;0.015;0.556;0.681;0.337;0.653
2017;2697;0.538;0.145;0.09;0.075;0.026;0.011;0.553;0.708;0.184;0.697
2017;2698;0.469;0.111;0.048;0.039;0.016;0.01;0.521;0.692;0.086;0.717
2017;2699;0.415;0.093;0.025;0.017;0.009;0.011;0.485;0.668;0.036;0.739
2017;2700;0.385;0.098;0.021;0.008;0.009;0.015;0.457;0.646;0.031;0.757
2017;2701;0.377;0.116;0.036;0.007;0.012;0.02;0.44;0.627;0.055;0.742
2017;2702;0.383;0.133;0.054;0.011;0.017;0.023;0.435;0.619;0.099;0.69
2017;2703;0.412;0.154;0.071;0.018;0.023;0.024;0.444;0.624;0.162;0.615
2017;2704;0.447;0.175;0.088;0.024;0.026;0.021;0.464;0.637;0.26;0.536
2017;2705;0.47;0.199;0.106;0.035;0.03;0.019;0.464;0.637;0.355;0.435
2017;2706;0.513;0.248;0.146;0.057;0.038;0.019;0.491;0.661;0.325;0.381
2017;2707;0.586;0.321;0.177;0.069;0.038;0.029;0.563;0.733;0.211;0.311
2017;2708;0.622;0.343;0.174;0.069;0.031;0.061;0.58;0.734;0.119;0.223
2017;2709;0.606;0.325;0.155;0.065;0.025;0.111;0.552;0.692;0.076;0.156
2017;2710;0.571;0.294;0.135;0.065;0.025;0.171;0.522;0.654;0.093;0.11
2017;2711;0.533;0.261;0.117;0.069;0.032;0.234;0.494;0.623;0.167;0.074
2017;2712;0.493;0.217;0.096;0.075;0.045;0.298;0.468;0.594;0.264;0.047
2017;2713;0.447;0.164;0.077;0.084;0.063;0.357;0.459;0.568;0.349;0.037
2017;2714;0.398;0.113;0.064;0.099;0.087;0.404;0.431;0.557;0.41;0.07
2017;2715;0.364;0.072;0.063;0.122;0.119;0.436;0.399;0.532;0.42;0.154
2017;2716;0.334;0.041;0.071;0.153;0.156;0.46;0.37;0.466;0.41;0.256
2017;2717;0.306;0.018;0.085;0.184;0.192;0.457;0.343;0.402;0.384;0.324
2017;2718;0.245;0.008;0.094;0.196;0.179;0.395;0.272;0.291;0.252;0.328
2017;2719;0.175;0.005;0.092;0.194;0.159;0.395;0.233;0.237;0.178;0.323
2017;2720;0.186;0.011;0.111;0.22;0.185;0.422;0.268;0.217;0.192;0.302
2017;2721;0.267;0.028;0.131;0.24;0.191;0.413;0.32;0.224;0.245;0.304
2017;2722;0.285;0.04;0.155;0.275;0.213;0.401;0.299;0.212;0.312;0.331
2017;2723;0.246;0.051;0.184;0.313;0.244;0.398;0.233;0.152;0.367;0.366
2017;2724;0.177;0.066;0.228;0.357;0.28;0.398;0.17;0.103;0.395;0.391
2017;2725;0.111;0.088;0.3;0.415;0.329;0.403;0.126;0.083;0.395;0.404
2017;2726;0.07;0.119;0.381;0.479;0.388;0.407;0.102;0.08;0.376;0.404
2017;2727;0.07;0.158;0.438;0.517;0.43;0.41;0.104;0.099;0.344;0.401
2017;2728;0.11;0.194;0.466;0.525;0.432;0.39;0.142;0.146;0.294;0.389
2017;2729;0.195;0.212;0.457;0.494;0.391;0.364;0.226;0.243;0.246;0.364
2017;2730;0.309;0.205;0.414;0.466;0.367;0.386;0.367;0.403;0.216;0.351
2017;2731;0.386;0.203;0.439;0.494;0.388;0.391;0.484;0.554;0.212;0.374
2017;2732;0.407;0.199;0.463;0.541;0.42;0.407;0.516;0.628;0.217;0.404
2017;2733;0.413;0.234;0.481;0.602;0.486;0.598;0.489;0.622;0.23;0.413
2017;2734;0.453;0.302;0.563;0.744;0.567;0.737;0.454;0.572;0.238;0.415
2017;2735;0.484;0.389;0.74;0.837;0.661;0.706;0.426;0.51;0.272;0.43
2017;2736;0.473;0.433;0.814;0.851;0.645;0.674;0.394;0.42;0.326;0.445
2017;2737;0.444;0.476;0.817;0.795;0.535;0.644;0.381;0.367;0.386;0.481
2017;2738;0.432;0.586;0.753;0.715;0.439;0.619;0.355;0.369;0.441;0.513
2017;2739;0.421;0.658;0.655;0.668;0.425;0.618;0.315;0.339;0.494;0.522
2017;2740;0.432;0.619;0.582;0.658;0.456;0.618;0.311;0.329;0.523;0.517
2017;2741;0.475;0.544;0.56;0.665;0.478;0.586;0.329;0.349;0.544;0.508
2017;2742;0.621;0.448;0.563;0.644;0.444;0.566;0.312;0.325;0.556;0.503
2017;2743;0.759;0.479;0.566;0.574;0.417;0.547;0.261;0.297;0.568;0.516
2017;2744;0.837;0.51;0.491;0.452;0.328;0.477;0.249;0.336;0.628;0.524
2017;2745;0.858;0.507;0.412;0.338;0.249;0.386;0.253;0.343;0.726;0.583
2017;2746;0.847;0.486;0.344;0.26;0.191;0.311;0.272;0.325;0.772;0.672
2017;2747;0.808;0.457;0.3;0.217;0.162;0.27;0.32;0.286;0.756;0.731
2017;2748;0.756;0.447;0.28;0.196;0.156;0.241;0.425;0.27;0.73;0.75
2017;2749;0.691;0.46;0.275;0.197;0.16;0.22;0.56;0.32;0.702;0.724
2017;2750;0.65;0.476;0.28;0.209;0.169;0.219;0.693;0.491;0.689;0.701
2017;2751;0.662;0.492;0.281;0.215;0.169;0.223;0.74;0.692;0.637;0.704
2017;2752;0.687;0.519;0.29;0.214;0.156;0.236;0.701;0.791;0.599;0.695
2017;2753;0.739;0.544;0.32;0.238;0.157;0.264;0.608;0.812;0.642;0.663
2017;2754;0.768;0.548;0.354;0.292;0.188;0.326;0.519;0.791;0.687;0.676
2017;2755;0.772;0.552;0.402;0.364;0.233;0.371;0.464;0.752;0.731;0.751
2017;2756;0.757;0.535;0.429;0.432;0.272;0.362;0.423;0.69;0.755;0.826
2017;2757;0.741;0.516;0.48;0.526;0.348;0.358;0.43;0.644;0.739;0.855
2017;2758;0.729;0.506;0.547;0.6;0.413;0.364;0.461;0.593;0.75;0.835
2017;2759;0.718;0.491;0.59;0.633;0.43;0.36;0.498;0.55;0.608;0.756
2017;2760;0.706;0.471;0.601;0.628;0.413;0.353;0.521;0.544;0.495;0.666
2017;2761;0.697;0.454;0.589;0.595;0.381;0.356;0.535;0.59;0.432;0.586
2017;2762;0.69;0.437;0.552;0.55;0.348;0.37;0.544;0.642;0.606;0.484
2017;2763;0.673;0.429;0.495;0.495;0.311;0.371;0.521;0.651;0.773;0.44
2017;2764;0.647;0.42;0.444;0.457;0.28;0.362;0.488;0.623;0.654;0.558
2017;2765;0.618;0.413;0.413;0.432;0.266;0.352;0.453;0.573;0.535;0.571
2017;2766;0.544;0.37;0.371;0.412;0.25;0.327;0.388;0.494;0.501;0.495
2017;2767;0.52;0.379;0.392;0.418;0.285;0.337;0.349;0.43;0.437;0.39
2017;2768;0.444;0.422;0.413;0.429;0.307;0.366;0.347;0.409;0.332;0.237
2017;2769;0.362;0.449;0.419;0.432;0.315;0.39;0.295;0.385;0.19;0.203
2017;2770;0.323;0.455;0.42;0.431;0.323;0.398;0.247;0.336;0.115;0.337
2017;2771;0.311;0.444;0.429;0.432;0.329;0.395;0.23;0.305;0.098;0.472
2017;2772;0.312;0.431;0.444;0.435;0.342;0.395;0.245;0.325;0.122;0.538
2017;2773;0.337;0.419;0.46;0.443;0.37;0.398;0.284;0.376;0.167;0.556
2017;2774;0.403;0.416;0.46;0.444;0.395;0.4;0.332;0.433;0.245;0.533
2017;2775;0.474;0.404;0.449;0.443;0.401;0.412;0.341;0.478;0.358;0.525
2017;2776;0.522;0.383;0.432;0.444;0.395;0.422;0.311;0.499;0.488;0.56
2017;2777;0.556;0.354;0.407;0.446;0.363;0.407;0.278;0.488;0.624;0.63
2017;2778;0.574;0.308;0.38;0.472;0.351;0.414;0.257;0.452;0.676;0.705
2017;2779;0.599;0.304;0.398;0.523;0.382;0.442;0.255;0.398;0.693;0.774
2017;2780;0.615;0.296;0.411;0.538;0.391;0.447;0.261;0.325;0.649;0.82
2017;2781;0.618;0.286;0.438;0.552;0.407;0.447;0.286;0.3;0.547;0.849
2017;2782;0.607;0.278;0.458;0.559;0.413;0.436;0.317;0.313;0.479;0.881
2017;2783;0.58;0.264;0.447;0.553;0.411;0.415;0.336;0.33;0.46;0.913
2017;2784;0.546;0.244;0.433;0.548;0.412;0.387;0.345;0.352;0.466;0.932
2017;2785;0.508;0.223;0.429;0.548;0.408;0.359;0.351;0.384;0.477;0.942
2017;2786;0.469;0.201;0.44;0.548;0.4;0.337;0.355;0.421;0.498;0.948
2017;2787;0.424;0.171;0.438;0.523;0.379;0.314;0.348;0.448;0.509;0.951
2017;2788;0.374;0.142;0.409;0.488;0.361;0.293;0.326;0.454;0.519;0.947
2017;2789;0.323;0.122;0.374;0.438;0.325;0.272;0.291;0.422;0.505;0.937
2017;2790;0.263;0.093;0.297;0.36;0.256;0.233;0.242;0.347;0.491;0.932
2017;2791;0.241;0.061;0.245;0.295;0.243;0.215;0.215;0.3;0.492;0.926
2017;2792;0.202;0.04;0.197;0.243;0.223;0.211;0.201;0.294;0.459;0.92
2017;2793;0.164;0.035;0.168;0.211;0.201;0.207;0.18;0.278;0.398;0.914
2017;2794;0.155;0.042;0.164;0.203;0.185;0.2;0.176;0.266;0.335;0.91
2017;2795;0.16;0.058;0.192;0.229;0.191;0.194;0.19;0.28;0.296;0.898
2017;2796;0.176;0.083;0.243;0.275;0.206;0.19;0.21;0.316;0.318;0.867
2017;2797;0.187;0.113;0.291;0.317;0.214;0.183;0.229;0.364;0.417;0.824
2017;2798;0.187;0.142;0.332;0.349;0.219;0.173;0.249;0.408;0.556;0.8
2017;2799;0.186;0.169;0.368;0.39;0.238;0.168;0.271;0.432;0.68;0.804
2017;2800;0.19;0.199;0.402;0.423;0.251;0.167;0.286;0.439;0.765;0.825
2017;2801;0.201;0.223;0.407;0.435;0.243;0.163;0.289;0.432;0.793;0.865
2017;2802;0.212;0.245;0.413;0.451;0.254;0.179;0.292;0.432;0.791;0.909
2017;2803;0.215;0.296;0.435;0.475;0.285;0.204;0.31;0.463;0.796;0.939
2017;2804;0.214;0.362;0.464;0.491;0.307;0.226;0.305;0.469;0.802;0.956
2017;2805;0.21;0.422;0.498;0.491;0.306;0.228;0.273;0.448;0.817;0.961
2017;2806;0.212;0.448;0.503;0.459;0.275;0.201;0.231;0.407;0.817;0.958
2017;2807;0.231;0.444;0.494;0.408;0.235;0.162;0.192;0.347;0.823;0.954
2017;2808;0.255;0.434;0.499;0.383;0.188;0.134;0.156;0.278;0.835;0.953
2017;2809;0.272;0.42;0.523;0.392;0.146;0.118;0.124;0.211;0.831;0.95
2017;2810;0.269;0.381;0.501;0.399;0.133;0.111;0.096;0.154;0.822;0.948
2017;2811;0.252;0.331;0.448;0.388;0.134;0.121;0.075;0.111;0.823;0.951
2017;2812;0.231;0.295;0.371;0.343;0.141;0.149;0.058;0.076;0.816;0.956
2017;2813;0.205;0.277;0.3;0.285;0.132;0.179;0.044;0.046;0.788;0.959
2017;2814;0.165;0.236;0.225;0.22;0.104;0.203;0.029;0.025;0.774;0.967
2017;2815;0.142;0.201;0.199;0.184;0.092;0.243;0.03;0.021;0.818;0.976
2017;2816;0.118;0.199;0.183;0.17;0.101;0.291;0.03;0.02;0.82;0.979
2017;2817;0.104;0.181;0.168;0.157;0.118;0.32;0.029;0.023;0.796;0.975
2017;2818;0.108;0.169;0.171;0.162;0.138;0.323;0.041;0.037;0.758;0.967
2017;2819;0.126;0.165;0.187;0.183;0.161;0.319;0.06;0.061;0.71;0.959
2017;2820;0.149;0.156;0.201;0.199;0.179;0.298;0.083;0.093;0.651;0.948
2017;2821;0.181;0.14;0.198;0.193;0.176;0.253;0.103;0.125;0.613;0.938
2017;2822;0.219;0.125;0.177;0.167;0.149;0.193;0.115;0.146;0.599;0.933
2017;2823;0.233;0.109;0.154;0.144;0.122;0.136;0.112;0.141;0.599;0.937
2017;2824;0.231;0.089;0.133;0.125;0.095;0.085;0.091;0.116;0.603;0.944
2017;2825;0.214;0.074;0.125;0.115;0.069;0.042;0.069;0.093;0.574;0.95
2017;2826;0.183;0.071;0.133;0.118;0.058;0.016;0.067;0.099;0.539;0.951
2017;2827;0.135;0.073;0.14;0.123;0.049;0.006;0.069;0.124;0.525;0.946
2017;2828;0.08;0.065;0.128;0.118;0.042;0.008;0.067;0.145;0.526;0.939
2017;2829;0.045;0.054;0.102;0.111;0.042;0.032;0.068;0.16;0.525;0.936
2017;2830;0.022;0.046;0.071;0.099;0.046;0.077;0.068;0.176;0.525;0.924
2017;2831;0.007;0.049;0.043;0.086;0.054;0.12;0.074;0.205;0.532;0.892
2017;2832;0.004;0.067;0.026;0.079;0.064;0.153;0.088;0.251;0.544;0.849
2017;2833;0.015;0.092;0.041;0.084;0.077;0.179;0.118;0.317;0.583;0.807
2017;2834;0.047;0.121;0.075;0.103;0.099;0.205;0.169;0.398;0.621;0.765
2017;2835;0.104;0.161;0.121;0.136;0.127;0.226;0.241;0.47;0.626;0.684
2017;2836;0.186;0.206;0.167;0.17;0.137;0.243;0.323;0.525;0.609;0.55
2017;2837;0.291;0.234;0.182;0.183;0.126;0.233;0.381;0.539;0.555;0.369
2017;2838;0.364;0.204;0.154;0.174;0.108;0.185;0.355;0.453;0.535;0.133
2017;2839;0.443;0.222;0.147;0.173;0.111;0.177;0.362;0.481;0.521;0.093
2017;2840;0.552;0.283;0.156;0.17;0.11;0.157;0.525;0.725;0.331;0.172
2017;2841;0.619;0.326;0.162;0.156;0.094;0.125;0.564;0.729;0.144;0.291
2017;2842;0.649;0.355;0.182;0.149;0.084;0.098;0.563;0.7;0.076;0.36
2017;2843;0.669;0.394;0.228;0.162;0.082;0.084;0.548;0.655;0.076;0.398
2017;2844;0.676;0.437;0.289;0.192;0.089;0.076;0.523;0.598;0.122;0.437
2017;2845;0.677;0.482;0.366;0.256;0.112;0.073;0.479;0.537;0.22;0.477
2017;2846;0.678;0.532;0.449;0.348;0.155;0.082;0.439;0.494;0.327;0.503
2017;2847;0.676;0.574;0.525;0.46;0.223;0.117;0.425;0.458;0.395;0.519
2017;2848;0.668;0.59;0.582;0.566;0.314;0.192;0.416;0.444;0.417;0.51
2017;2849;0.594;0.556;0.624;0.65;0.401;0.283;0.399;0.429;0.38;0.471
2017;2850;0.582;0.551;0.718;0.752;0.535;0.414;0.438;0.498;0.332;0.407
2017;2851;0.666;0.619;0.801;0.823;0.639;0.543;0.518;0.632;0.344;0.364
2017;2852;0.729;0.675;0.827;0.842;0.654;0.57;0.601;0.731;0.384;0.335
2017;2853;0.75;0.703;0.835;0.844;0.644;0.557;0.665;0.786;0.432;0.305
2017;2854;0.757;0.708;0.849;0.845;0.629;0.544;0.702;0.826;0.479;0.274
2017;2855;0.729;0.668;0.857;0.849;0.618;0.544;0.734;0.841;0.501;0.258
2017;2856;0.657;0.611;0.853;0.847;0.603;0.546;0.753;0.868;0.534;0.259
2017;2857;0.556;0.566;0.846;0.84;0.586;0.541;0.784;0.872;0.569;0.28
2017;2858;0.568;0.504;0.839;0.832;0.584;0.532;0.751;0.832;0.645;0.318
2017;2859;0.648;0.457;0.829;0.826;0.586;0.512;0.803;0.835;0.722;0.364
2017;2860;0.636;0.474;0.827;0.821;0.61;0.525;0.84;0.877;0.759;0.413
2017;2861;0.566;0.471;0.816;0.804;0.598;0.525;0.827;0.891;0.781;0.461
2017;2862;0.487;0.458;0.786;0.771;0.544;0.511;0.778;0.858;0.791;0.532
2017;2863;0.502;0.41;0.772;0.772;0.602;0.607;0.733;0.812;0.839;0.634
2017;2864;0.674;0.432;0.793;0.807;0.655;0.661;0.788;0.908;0.883;0.71
2017;2865;0.781;0.506;0.832;0.844;0.697;0.714;0.887;0.97;0.925;0.774
2017;2866;0.779;0.526;0.879;0.862;0.731;0.754;0.888;0.971;0.953;0.821
2017;2867;0.72;0.498;0.9;0.88;0.765;0.788;0.881;0.967;0.966;0.846
2017;2868;0.744;0.379;0.896;0.879;0.748;0.796;0.921;0.983;0.972;0.865
2017;2869;0.819;0.296;0.871;0.865;0.705;0.772;0.955;0.988;0.974;0.885
2017;2870;0.889;0.252;0.827;0.869;0.672;0.722;0.966;0.99;0.976;0.902
2017;2871;0.911;0.233;0.78;0.866;0.63;0.662;0.964;0.99;0.971;0.902
2017;2872;0.913;0.259;0.776;0.847;0.595;0.621;0.958;0.99;0.961;0.896
2017;2873;0.903;0.387;0.679;0.794;0.545;0.586;0.955;0.989;0.954;0.894
2017;2874;0.893;0.563;0.611;0.726;0.485;0.553;0.955;0.983;0.941;0.889
2017;2875;0.906;0.664;0.658;0.698;0.514;0.623;0.96;0.981;0.831;0.888
2017;2876;0.948;0.704;0.756;0.687;0.455;0.659;0.955;0.984;0.8;0.894
2017;2877;0.967;0.746;0.798;0.829;0.494;0.621;0.936;0.982;0.949;0.832
2017;2878;0.966;0.77;0.742;0.881;0.633;0.511;0.906;0.969;0.902;0.784
2017;2879;0.96;0.785;0.653;0.865;0.622;0.559;0.884;0.939;0.733;0.92
2017;2880;0.955;0.841;0.675;0.794;0.584;0.51;0.868;0.894;0.583;0.946
2017;2881;0.964;0.871;0.791;0.69;0.556;0.481;0.851;0.87;0.542;0.906
2017;2882;0.961;0.874;0.85;0.663;0.55;0.435;0.826;0.862;0.538;0.854
2017;2883;0.95;0.883;0.85;0.695;0.513;0.441;0.774;0.82;0.532;0.814
2017;2884;0.943;0.894;0.87;0.751;0.506;0.491;0.728;0.765;0.498;0.811
2017;2885;0.94;0.899;0.895;0.803;0.51;0.544;0.695;0.754;0.472;0.817
2017;2886;0.926;0.904;0.906;0.849;0.554;0.644;0.651;0.738;0.51;0.801
2017;2887;0.912;0.912;0.938;0.899;0.653;0.655;0.653;0.739;0.655;0.793
2017;2888;0.91;0.935;0.959;0.937;0.767;0.599;0.674;0.74;0.713;0.786
2017;2889;0.905;0.938;0.965;0.948;0.823;0.519;0.69;0.777;0.696;0.757
2017;2890;0.901;0.914;0.96;0.945;0.833;0.489;0.718;0.819;0.67;0.732
2017;2891;0.894;0.89;0.953;0.941;0.816;0.466;0.744;0.847;0.659;0.718
2017;2892;0.881;0.872;0.95;0.935;0.796;0.428;0.746;0.853;0.674;0.718
2017;2893;0.875;0.855;0.942;0.926;0.78;0.408;0.74;0.842;0.712;0.734
2017;2894;0.862;0.815;0.929;0.903;0.747;0.42;0.737;0.834;0.751;0.763
2017;2895;0.831;0.756;0.924;0.873;0.692;0.429;0.725;0.831;0.757;0.782
2017;2896;0.755;0.7;0.918;0.851;0.635;0.401;0.675;0.806;0.715;0.78
2017;2897;0.647;0.654;0.9;0.845;0.574;0.332;0.566;0.763;0.618;0.75
2017;2898;0.572;0.648;0.874;0.839;0.553;0.267;0.442;0.708;0.502;0.728
2017;2899;0.55;0.657;0.841;0.833;0.526;0.223;0.387;0.713;0.391;0.726
2017;2900;0.569;0.636;0.783;0.804;0.476;0.179;0.343;0.722;0.302;0.732
2017;2901;0.611;0.625;0.682;0.73;0.377;0.135;0.355;0.744;0.278;0.726
2017;2902;0.675;0.618;0.523;0.619;0.305;0.122;0.445;0.74;0.27;0.706
2017;2903;0.727;0.59;0.335;0.481;0.268;0.144;0.513;0.724;0.264;0.668
2017;2904;0.753;0.552;0.175;0.381;0.243;0.183;0.535;0.682;0.233;0.599
2017;2905;0.754;0.491;0.084;0.328;0.22;0.219;0.54;0.642;0.219;0.491
2017;2906;0.746;0.434;0.083;0.305;0.201;0.24;0.538;0.642;0.234;0.393
2017;2907;0.711;0.444;0.115;0.287;0.173;0.226;0.51;0.591;0.218;0.314
2017;2908;0.64;0.398;0.206;0.263;0.138;0.179;0.47;0.516;0.233;0.261
2017;2909;0.554;0.313;0.288;0.231;0.099;0.115;0.414;0.454;0.276;0.261
2017;2910;0.447;0.228;0.309;0.201;0.055;0.043;0.328;0.38;0.359;0.312
2017;2911;0.343;0.186;0.312;0.192;0.06;0.025;0.279;0.343;0.448;0.38
2017;2912;0.294;0.163;0.274;0.179;0.071;0.048;0.248;0.313;0.522;0.432
2017;2913;0.245;0.14;0.205;0.133;0.051;0.084;0.233;0.292;0.591;0.516
2017;2914;0.209;0.121;0.123;0.073;0.046;0.157;0.214;0.28;0.595;0.595
2017;2915;0.192;0.108;0.078;0.054;0.072;0.234;0.197;0.283;0.541;0.637
2017;2916;0.178;0.1;0.084;0.087;0.127;0.261;0.182;0.282;0.48;0.627
2017;2917;0.169;0.09;0.12;0.144;0.201;0.241;0.162;0.264;0.419;0.578
2017;2918;0.174;0.085;0.164;0.2;0.277;0.218;0.14;0.233;0.378;0.525
2017;2919;0.201;0.084;0.204;0.253;0.318;0.197;0.128;0.211;0.362;0.485
2017;2920;0.241;0.089;0.229;0.291;0.274;0.186;0.126;0.19;0.361;0.444
2017;2921;0.272;0.111;0.242;0.281;0.167;0.171;0.128;0.165;0.344;0.388
2017;2922;0.261;0.158;0.267;0.236;0.094;0.168;0.134;0.149;0.352;0.365
2017;2923;0.217;0.223;0.279;0.163;0.058;0.2;0.134;0.144;0.382;0.352
2017;2924;0.152;0.249;0.22;0.092;0.058;0.201;0.113;0.12;0.385;0.352
2017;2925;0.104;0.26;0.149;0.074;0.094;0.215;0.093;0.095;0.391;0.377
2017;2926;0.083;0.256;0.106;0.094;0.151;0.249;0.072;0.073;0.384;0.392
2017;2927;0.067;0.247;0.091;0.132;0.191;0.31;0.055;0.055;0.364;0.386
2017;2928;0.055;0.245;0.096;0.188;0.207;0.349;0.045;0.043;0.343;0.391
2017;2929;0.05;0.238;0.12;0.256;0.225;0.32;0.039;0.035;0.334;0.393
2017;2930;0.048;0.225;0.165;0.326;0.232;0.327;0.033;0.028;0.33;0.376
2017;2931;0.049;0.208;0.205;0.358;0.231;0.322;0.028;0.023;0.322;0.325
2017;2932;0.052;0.196;0.241;0.379;0.24;0.316;0.024;0.02;0.32;0.268
2017;2933;0.073;0.181;0.289;0.418;0.242;0.291;0.02;0.018;0.271;0.211
2017;2934;0.072;0.146;0.331;0.442;0.219;0.235;0.014;0.014;0.154;0.144
2017;2935;0.075;0.168;0.369;0.448;0.21;0.196;0.007;0.008;0.092;0.116
2017;2936;0.083;0.185;0.388;0.433;0.196;0.169;0.003;0.006;0.039;0.094
2017;2937;0.084;0.21;0.395;0.421;0.174;0.167;0.003;0.005;0.007;0.08
2017;2938;0.072;0.245;0.415;0.422;0.153;0.171;0.005;0.002;0.005;0.082
2017;2939;0.065;0.289;0.444;0.407;0.139;0.177;0.013;0.003;0.018;0.092
2017;2940;0.068;0.334;0.459;0.392;0.14;0.207;0.031;0.025;0.047;0.093
2017;2941;0.086;0.366;0.452;0.383;0.153;0.245;0.055;0.07;0.103;0.099
2017;2942;0.126;0.375;0.447;0.399;0.181;0.267;0.084;0.132;0.17;0.112
2017;2943;0.202;0.389;0.45;0.425;0.202;0.27;0.113;0.205;0.217;0.115
2017;2944;0.311;0.42;0.464;0.46;0.21;0.247;0.139;0.282;0.215;0.101
